time(month),survival,company
32,Y,B
19,Y,B
21,N,A
5,Y,B
18,N,B
28,Y,B
42,Y,B
22,Y,A
21,N,B
6,N,B
1,Y,A
5,Y,B
41,Y,A
12,N,A
26,Y,A
46,N,B
34,Y,A
14,Y,A
26,Y,A
45,Y,B
27,Y,B
9,Y,B
26,N,B
47,Y,B
22,N,B
47,Y,B
30,Y,A
43,N,A
48,Y,A
17,N,A
26,N,B
36,Y,A
1,N,A
8,N,A
35,Y,A
15,N,B
47,Y,B
22,Y,B
14,Y,A
26,Y,B
28,N,A
23,Y,B
14,Y,B
24,N,B
2,Y,B
45,Y,B
26,N,A
14,N,B
7,N,A
3,N,A
47,N,A
23,N,A
46,N,A
43,Y,B
47,N,B
45,N,B
18,N,B
38,Y,A
35,Y,B
15,N,B
25,N,A
37,N,A
28,Y,B
10,Y,B
39,N,A
17,Y,B
39,N,B
22,Y,B
26,Y,B
44,N,A
25,N,A
17,N,A
13,N,B
20,Y,B
25,Y,B
4,Y,B
10,N,B
3,Y,A
41,N,B
45,Y,B
18,N,A
47,N,B
36,Y,A
47,N,A
22,N,A
34,Y,A
47,N,A
8,N,B
40,N,A
44,Y,A
19,Y,B
42,N,B
41,Y,A
37,N,B
6,N,B
26,N,A
34,N,A
45,N,B
6,Y,A
37,N,A
33,Y,B
22,Y,A
21,N,A
6,N,A
6,Y,A
48,Y,A
4,Y,B
30,N,B
11,Y,A
30,N,B
31,N,A
24,N,A
9,Y,A
3,N,A
31,N,A
40,N,B
37,N,B
36,N,A
24,Y,B
31,N,A
6,N,B
2,Y,A
20,N,B
28,Y,A
11,N,A
4,Y,B
15,Y,B
6,N,A
30,N,B
38,N,A
2,Y,B
15,Y,B
11,Y,A
8,N,B
26,Y,B
45,Y,A
44,N,B
5,Y,A
6,Y,A
26,N,A
4,Y,A
19,N,A
20,N,B
33,N,A
20,N,A
12,N,B
47,Y,B
1,Y,B
26,N,A
14,N,A
38,Y,A
37,N,B
11,N,A
36,N,B
13,Y,A
43,Y,B
3,N,A
33,N,A
6,Y,A
10,Y,B
5,N,B
23,N,A
10,Y,A
44,Y,A
2,Y,B
13,N,A
40,Y,A
2,N,A
20,Y,A
1,Y,B
37,Y,B
9,Y,A
17,N,A
9,N,B
11,Y,B
15,N,A
24,Y,B
38,Y,B
35,Y,A
30,Y,B
31,N,B
5,Y,A
44,Y,A
14,N,B
11,Y,A
9,Y,B
34,Y,A
12,N,B
35,Y,A
35,N,B
1,Y,B
40,Y,B
22,N,A
29,Y,A
8,Y,B
11,N,B
41,N,A
37,N,A
14,N,A
30,N,A
35,Y,A
21,N,A
37,Y,B
5,Y,A
19,Y,B
14,N,A
26,N,A
4,Y,B
25,N,B
45,N,A
42,N,B
25,N,B
18,Y,B
40,Y,B
8,N,A
39,Y,B
40,N,A
14,N,A
32,Y,A
38,Y,A
33,Y,B
23,N,B
15,Y,A
33,N,A
25,Y,A
17,Y,A
33,N,B
47,N,A
2,N,B
14,N,A
40,N,A
40,N,A
39,N,A
6,N,B
6,Y,B
3,N,B
7,N,A
8,Y,A
42,N,B
15,Y,B
47,Y,A
29,N,A
33,Y,B
30,N,A
39,Y,A
27,Y,B
36,Y,A
29,N,B
38,N,A
33,Y,B
37,Y,A
27,N,B
33,N,B
4,Y,B
22,Y,B
2,N,A
10,N,A
5,N,B
10,N,A
33,N,A
38,Y,A
13,N,A
31,Y,A
47,N,B
36,Y,B
45,N,B
24,N,B
15,Y,A
29,Y,A
8,N,B
5,N,A
29,N,A
47,N,B
4,N,A
12,Y,B
45,Y,B
2,N,A
27,Y,A
31,Y,B
36,Y,B
36,N,A
26,Y,B
43,N,B
27,Y,B
5,N,A
20,Y,B
11,N,A
10,N,B
40,Y,A
38,N,B
6,N,A
8,N,A
23,N,A
47,N,B
26,N,B
46,N,B
43,N,A
12,Y,B
26,Y,A
13,N,B
40,N,A
18,Y,A
25,Y,A
33,Y,B
47,N,B
40,Y,B
43,N,A
12,N,A
44,Y,B
36,N,B
48,N,B
4,N,A
5,N,A
37,Y,A
8,Y,A
42,N,A
28,N,B
31,Y,A
9,N,A
29,Y,A
14,N,A
40,N,A
41,Y,B
22,Y,A
11,Y,A
23,Y,A
1,N,B
46,Y,B
37,N,B
21,Y,A
26,Y,B
46,N,A
36,Y,A
23,Y,B
1,Y,A
40,Y,A
15,N,A
21,N,B
47,Y,A
9,Y,A
9,Y,B
10,N,A
26,N,A
41,N,B
35,N,A
25,Y,A
26,Y,A
11,Y,A
38,N,A
2,Y,B
7,N,B
18,N,B
27,Y,B
34,Y,A
27,Y,A
17,N,A
43,N,A
44,Y,A
24,Y,B
25,N,B
7,Y,A
6,N,A
24,N,A
33,Y,B
29,Y,A
43,Y,A
22,Y,A
26,N,B
28,N,A
21,N,B
7,Y,B
17,N,B
20,Y,B
41,Y,B
20,Y,B
22,Y,A
28,Y,A
40,Y,A
7,N,B
1,Y,A
32,N,B
13,N,B
30,Y,B
23,Y,A
19,Y,B
32,N,B
30,Y,A
29,N,A
45,Y,B
29,Y,B
30,N,A
16,N,A
40,Y,A
19,N,B
18,N,A
1,N,A
14,N,A
47,N,B
2,Y,A
28,Y,A
30,N,A
38,Y,A
4,Y,A
1,N,B
8,Y,B
29,N,B
39,N,A
3,Y,B
32,N,B
10,N,B
10,N,A
19,N,A
46,N,B
34,Y,B
33,Y,A
23,N,A
28,N,B
32,Y,A
7,N,B
29,Y,A
8,N,B
1,N,B
3,N,A
24,N,B
23,N,B
8,N,B
47,N,A
37,Y,A
3,Y,A
33,Y,B
28,N,A
47,N,B
8,N,B
34,N,A
35,N,A
32,N,B
24,N,B
14,Y,A
32,N,A
46,Y,A
43,Y,B
16,N,B
4,N,B
37,Y,B
21,Y,B
14,N,A
31,N,A
48,Y,B
18,N,B
7,N,A
10,N,A
7,Y,A
33,Y,A
23,Y,B
21,N,A
19,N,B
48,Y,A
19,Y,A
36,Y,A
29,N,B
18,Y,B
2,Y,A
1,N,B
47,N,B
5,N,A
20,Y,A
11,N,B
42,N,B
2,Y,B
3,N,A
23,Y,A
12,Y,B
20,N,A
5,N,A
37,N,B
38,N,B
30,N,A
9,N,A
34,Y,B
44,Y,A
35,N,A
22,Y,B
44,N,B
24,Y,A
17,Y,A
10,Y,A
30,N,B
46,Y,A
23,N,A
32,Y,B
17,Y,B
17,Y,A
14,Y,B
9,Y,B
40,N,A
2,N,B
45,Y,B
25,Y,A
39,Y,B
9,Y,A
22,N,A
43,Y,B
46,N,B
4,Y,B
26,N,A
29,Y,B
45,Y,A
34,N,B
23,Y,B
37,Y,B
11,Y,A
6,N,B
18,Y,B
21,Y,A
42,N,A
36,N,B
41,N,B
38,Y,B
34,Y,A
17,Y,A
37,N,A
25,Y,A
38,Y,B
12,N,A
23,N,A
42,N,A
22,N,B
21,N,B
27,Y,A
31,N,A
6,Y,B
27,Y,B
40,N,B
34,N,B
12,N,B
45,Y,B
7,N,B
10,N,B
45,N,A
17,N,A
26,N,A
21,Y,A
28,Y,A
46,Y,A
2,N,B
43,N,B
1,N,A
36,Y,A
26,N,B
29,N,B
21,N,B
11,Y,A
40,N,B
11,Y,A
36,N,A
39,Y,B
40,Y,B
35,Y,A
34,N,B
47,N,B
24,Y,A
22,Y,B
5,N,A
33,N,A
36,Y,B
47,N,A
20,N,A
19,N,B
35,N,B
43,Y,B
17,N,A
45,N,A
43,Y,B
34,Y,A
9,N,B
26,N,B
2,N,A
9,N,B
9,Y,A
40,Y,A
17,Y,B
1,N,A
25,N,B
43,N,A
40,N,A
42,Y,A
25,Y,B
39,N,A
35,Y,B
3,N,A
37,N,A
44,Y,B
44,N,B
30,N,B
38,Y,B
34,N,B
12,N,A
19,Y,A
37,N,B
44,Y,A
17,N,A
10,Y,A
47,Y,B
12,Y,A
16,N,A
24,Y,A
19,Y,B
8,Y,A
31,Y,A
21,Y,B
17,N,B
23,N,A
37,N,A
16,N,B
6,N,B
8,N,B
25,N,B
18,Y,B
25,N,B
12,Y,B
15,Y,A
26,N,B
41,Y,B
45,Y,A
26,Y,B
47,Y,B
32,N,A
10,N,B
16,N,A
7,N,A
17,N,A
23,N,A
26,N,B
21,N,A
22,N,A
7,N,B
14,Y,A
15,N,A
7,Y,A
9,Y,A
48,Y,B
8,Y,A
23,N,B
29,Y,B
18,N,A
31,N,A
30,Y,A
39,N,A
35,Y,B
18,Y,B
42,N,B
39,N,A
17,Y,B
14,N,A
31,N,A
24,N,A
35,Y,A
44,Y,A
45,N,B
34,N,B
3,N,A
37,N,B
43,N,A
40,Y,A
26,N,A
23,Y,B
44,N,A
39,Y,A
15,N,B
4,Y,B
29,N,B
22,Y,A
25,Y,A
13,Y,B
18,Y,A
33,Y,B
16,Y,B
45,N,A
42,Y,A
44,N,B
2,N,B
35,N,B
42,N,B
34,N,A
30,Y,B
13,Y,B
13,Y,B
18,N,A
32,Y,A
32,Y,B
35,Y,A
39,Y,A
46,Y,A
29,N,B
29,Y,B
44,N,A
16,N,B
44,N,B
47,N,A
10,N,A
30,Y,B
25,Y,A
39,Y,B
20,N,B
5,Y,A
1,Y,B
30,N,B
3,N,A
45,N,A
14,N,A
30,Y,B
4,N,A
18,N,A
37,Y,A
25,Y,A
48,N,B
1,Y,B
46,N,A
15,N,B
9,Y,A
15,Y,A
24,N,B
4,N,B
12,N,A
37,Y,A
37,N,B
43,N,A
6,N,B
39,N,A
46,N,A
24,Y,B
11,N,B
13,N,B
34,N,B
25,N,B
7,Y,B
4,Y,B
8,Y,A
20,N,A
29,N,A
45,Y,B
46,Y,B
10,Y,B
43,N,A
34,N,B
26,Y,B
41,Y,A
3,Y,B
6,N,A
5,N,A
5,N,B
47,Y,B
23,Y,B
9,N,A
35,Y,A
20,N,A
42,Y,B
35,Y,B
18,Y,B
17,Y,B
24,N,A
3,Y,A
32,N,A
35,N,A
38,N,B
13,Y,B
47,N,B
25,N,A
9,N,A
4,Y,B
14,Y,B
37,N,A
34,Y,B
11,N,A
41,N,A
3,Y,A
28,N,B
29,Y,B
9,Y,A
3,N,B
25,Y,A
34,Y,A
12,N,A
42,N,A
9,Y,B
15,Y,A
40,N,A
25,Y,B
5,Y,A
11,Y,A
34,Y,B
24,Y,B
15,Y,B
38,Y,A
8,N,B
5,N,B
48,N,A
26,N,A
18,N,A
6,Y,A
37,Y,A
48,Y,B
13,Y,B
28,N,B
5,Y,A
13,Y,A
17,N,A
40,Y,B
45,Y,B
32,N,A
29,Y,B
3,Y,A
40,Y,B
34,Y,B
40,Y,B
27,N,A
13,N,B
45,N,B
33,N,A
6,N,B
24,N,A
19,Y,A
16,N,A
40,N,A
28,Y,A
33,Y,B
48,N,A
41,Y,A
13,N,A
43,Y,A
45,N,B
25,Y,A
42,Y,B
36,N,A
27,N,B
38,N,A
7,N,A
5,N,B
43,Y,A
45,N,B
31,N,A
23,Y,B
42,Y,A
10,N,A
32,Y,B
43,Y,A
30,N,A
39,Y,A
31,Y,A
18,N,A
36,N,A
2,Y,B
14,Y,B
13,N,B
29,Y,A
12,Y,B
39,Y,A
2,N,A
32,Y,A
13,Y,A
46,N,B
27,Y,A
41,Y,B
17,N,A
40,N,B
31,N,B
34,N,B
24,Y,B
45,Y,B
35,N,B
48,N,A
6,Y,B
19,N,A
30,Y,B
7,N,A
10,Y,B
41,N,B
32,N,A
34,Y,B
28,N,B
15,Y,B
30,Y,A
37,Y,B
29,Y,A
22,Y,B
4,N,B
20,N,A
32,Y,B
36,N,B
4,Y,A
27,N,B
17,N,A
12,N,A
22,N,A
17,Y,B
10,Y,A
1,N,A
22,N,B
26,Y,A
18,N,B
14,Y,B
47,Y,B
29,Y,B
12,N,A
36,Y,A
35,N,A
12,Y,A
7,N,A
29,N,B
11,N,A
33,Y,A
6,Y,A
47,N,B
15,N,B
32,N,A
11,Y,B
23,Y,A
26,Y,A
34,Y,B
46,N,B
34,N,A
29,Y,A
4,Y,B
17,N,A
35,Y,B
13,Y,A
41,Y,B
39,Y,A
15,Y,A
29,Y,B
29,N,A
11,Y,A
32,Y,B
2,N,A
47,N,A
14,N,A
20,Y,B
22,N,B
11,Y,B
27,Y,A
3,Y,A
17,N,A
44,N,A
28,N,B
29,N,A
21,N,A
47,Y,A
16,Y,B
37,Y,A
20,Y,A
6,N,A
19,N,A
5,Y,A
3,N,B
1,N,A
38,Y,A
15,Y,A
34,N,A
35,N,A
25,Y,A
24,Y,A
12,Y,A
18,N,A
15,Y,A
44,Y,B
16,N,B
27,N,B
8,N,B
46,N,A
25,N,B
17,Y,B
29,Y,A
8,N,B
15,N,B
27,N,A
46,N,A
7,N,A
3,Y,B
29,Y,B
44,Y,A
24,Y,A
3,N,B
20,Y,A
46,N,B
15,N,A
25,N,A
30,Y,B
14,N,A
7,Y,A
17,Y,A
44,N,B
20,N,A
36,N,A
9,Y,A
38,N,A
48,Y,A
22,N,A
2,N,B
24,Y,B
8,Y,A
11,Y,B
13,Y,B
17,Y,A
8,Y,B
21,N,B
18,N,B
30,Y,B
18,N,B
46,Y,B
47,N,B
31,N,B
38,Y,A
32,Y,A
11,Y,B
45,N,B
25,Y,A
33,N,B
38,Y,B
41,N,A
8,N,A
11,Y,A
22,N,B
24,N,B
41,Y,A
17,N,A
12,Y,B
46,Y,A
32,Y,B
15,Y,B
16,N,A
22,N,A
28,N,B
20,Y,A
33,N,A
10,N,A
40,Y,A
32,Y,B
33,N,B
2,Y,B
33,Y,B
33,Y,A
41,Y,A
13,N,B
30,Y,B
33,Y,A
13,Y,B
26,Y,B
22,Y,A
39,Y,B
2,Y,A
38,Y,A
39,N,B
26,Y,A
46,N,B
15,Y,A
34,Y,B
42,Y,B
44,Y,B
40,N,A
11,Y,A
3,Y,B
6,N,A
9,N,B
6,Y,B
9,N,A
39,N,B
31,N,A
32,Y,B
41,Y,A
12,Y,B
8,N,B
8,Y,A
28,N,B
20,Y,B
47,Y,A
7,N,B
11,Y,A
20,N,B
16,N,A
4,Y,B
6,N,B
22,Y,B
26,Y,A
3,N,A
41,Y,A
42,N,A
14,Y,B
11,Y,B
18,Y,A
12,Y,A
23,Y,A
12,N,B
13,N,A
25,N,A
45,N,B
19,N,B
46,N,A
36,Y,B
45,Y,A
8,N,B
29,N,A
32,Y,A
44,Y,A
18,Y,A
6,N,B
18,N,B
19,N,B
22,Y,B
37,Y,A
32,N,A
41,N,B
3,Y,B
28,Y,B
10,Y,B
35,Y,B
29,N,A
15,Y,A
33,Y,A
7,Y,B
12,N,B
30,N,B
21,Y,B
31,Y,A
24,Y,A
20,N,B
37,N,A
4,N,A
28,Y,B
44,N,B
20,Y,B
24,Y,B
32,Y,B
41,N,B
36,Y,A
34,N,A
36,N,B
2,Y,A
15,Y,B
34,N,B
36,Y,B
6,N,B
39,Y,A
42,N,B
